tmc_code,speed,historical_average_speed,reference_speed,travel_time_minutes,NPMRDS2 2021,timestamp,crash_count,crash,year,month,day,hour,day_of_week,day_name,is_weekend
113+04195,58.15,63,68,1.08,872,1/1/2021 0:00,0,0,2021,1,1,0,4,Friday,0
113+04195,55.99,62,68,1.12,570,1/1/2021 1:00,0,0,2021,1,1,1,4,Friday,0
113+04195,64.56,57,68,0.98,440,1/1/2021 2:00,0,0,2021,1,1,2,4,Friday,0
113+04195,59.97,62,68,1.05,431,1/1/2021 3:00,0,0,2021,1,1,3,4,Friday,0
113+04195,60.98,63,68,1.03,753,1/1/2021 4:00,0,0,2021,1,1,4,4,Friday,0
113+04195,62.28,62,68,1.01,1928,1/1/2021 5:00,0,0,2021,1,1,5,4,Friday,0
113+04195,56.32,64,68,1.12,4206,1/1/2021 6:00,0,0,2021,1,1,6,4,Friday,0
113+04195,63.44,62,68,0.99,5428,1/1/2021 7:00,0,0,2021,1,1,7,4,Friday,0
113+04195,63.06,63,68,1,4747,1/1/2021 8:00,0,0,2021,1,1,8,4,Friday,0
113+04195,66.78,63,68,0.94,4242,1/1/2021 9:00,0,0,2021,1,1,9,4,Friday,0
113+04195,67.17,62,68,0.94,4481,1/1/2021 10:00,0,0,2021,1,1,10,4,Friday,0
113+04195,69.96,63,68,0.9,4895,1/1/2021 11:00,0,0,2021,1,1,11,4,Friday,0
113+04195,69.1,62,68,0.91,5096,1/1/2021 12:00,0,0,2021,1,1,12,4,Friday,0
113+04195,66.38,62,68,0.95,5419,1/1/2021 13:00,0,0,2021,1,1,13,4,Friday,0
113+04195,71.46,62,68,0.88,6309,1/1/2021 14:00,0,0,2021,1,1,14,4,Friday,0
113+04195,67.63,54,68,0.93,7549,1/1/2021 15:00,0,0,2021,1,1,15,4,Friday,0
113+04195,69.82,45,68,0.9,8183,1/1/2021 16:00,0,0,2021,1,1,16,4,Friday,0
113+04195,67.24,43,68,0.94,7274,1/1/2021 17:00,0,0,2021,1,1,17,4,Friday,0
113+04195,69.19,61,68,0.91,5226,1/1/2021 18:00,0,0,2021,1,1,18,4,Friday,0
113+04195,65.94,63,68,0.96,3801,1/1/2021 19:00,0,0,2021,1,1,19,4,Friday,0
113+04195,69.14,63,68,0.91,3224,1/1/2021 20:00,0,0,2021,1,1,20,4,Friday,0
113+04195,70.86,63,68,0.89,2893,1/1/2021 21:00,0,0,2021,1,1,21,4,Friday,0
113+04195,65.97,64,68,0.95,2305,1/1/2021 22:00,0,0,2021,1,1,22,4,Friday,0
113+04195,65.36,63,68,0.96,1561,1/1/2021 23:00,0,0,2021,1,1,23,4,Friday,0
113+04195,66.67,64,68,0.94,1406,1/2/2021 0:00,0,0,2021,1,2,0,5,Saturday,1
113+04195,66.84,64,68,0.94,976,1/2/2021 1:00,0,0,2021,1,2,1,5,Saturday,1
113+04195,61.69,62,68,1.02,684,1/2/2021 2:00,0,0,2021,1,2,2,5,Saturday,1
