week_start,total_crashes,avg_speed,std_speed,min_speed,max_speed,avg_npmrds,std_npmrds,avg_speed_deviation,max_speed_deviation,avg_speed_ratio,min_speed_ratio,total_congestion_hours,total_weekend_hours,total_rush_hours,total_night_hours,total_peak_crash_hours,speed_variability,speed_range,pct_congested,pct_rush_hour,year,month,quarter,week_of_year,week_sin,week_cos,month_sin,month_cos,crashes_lag_1w,crashes_lag_2w,crashes_lag_3w,crashes_lag_4w,crashes_lag_8w,crashes_lag_12w,crashes_rolling_mean_2w,crashes_rolling_std_2w,crashes_rolling_max_2w,crashes_rolling_mean_4w,crashes_rolling_std_4w,crashes_rolling_max_4w,crashes_rolling_mean_8w,crashes_rolling_std_8w,crashes_rolling_max_8w,crashes_rolling_mean_12w,crashes_rolling_std_12w,crashes_rolling_max_12w,crash_change_1w,crash_change_4w
2021-01-04,3,67.735625,4.301964009857035,48.07,73.5,2979.7395833333335,1859.774334045548,4.971041666666667,20.930000000000007,0.9407725694444444,0.6676388888888889,1,48,24,32,16,0.06351109936399103,25.43,0.005952380952380952,0.14285714285714285,2021,1,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0
2021-01-11,4,66.90351190476191,3.999926966381303,49.4,74.11,3095.8333333333335,1949.4132102433941,4.104702380952381,19.03,0.9292154431216931,0.6861111111111111,2,48,42,56,28,0.059786502270243375,24.71,0.011904761904761904,0.25,2021,1,1,2,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,3.0,0.0,0.0,0.0,0.0,0.0,3.5,0.7071067811865476,4.0,3.5,0.7071067811865476,4.0,3.5,0.7071067811865476,4.0,3.5,0.7071067811865476,4.0,1.0,0.0
2021-01-18,0,67.3479761904762,4.111912234833648,37.69,74.77,3095.8333333333335,1949.4132102433941,5.0513095238095245,26.310000000000002,0.9353885582010582,0.5234722222222222,3,48,42,56,28,0.06105472602776029,37.08,0.017857142857142856,0.25,2021,1,1,3,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.8284271247461903,4.0,2.3333333333333335,2.0816659994661326,4.0,2.3333333333333335,2.0816659994661326,4.0,2.3333333333333335,2.0816659994661326,4.0,-4.0,0.0
2021-01-25,2,66.82797619047619,3.7716946999471443,47.07,72.62,3095.8333333333335,1949.4132102433941,4.385714285714286,16.369999999999997,0.9281663359788359,0.65375,1,48,42,56,28,0.05643885861808661,25.550000000000004,0.005952380952380952,0.25,2021,1,1,4,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.0,2.25,1.707825127659933,4.0,2.25,1.707825127659933,4.0,2.25,1.707825127659933,4.0,2.0,0.0
2021-02-01,5,67.14404761904763,3.016007242421941,56.54,72.69,3095.8333333333335,1949.4132102433941,4.470952380952381,18.759999999999998,0.9325562169312169,0.7852777777777777,0,48,42,56,28,0.0449184603754265,16.15,0.0,0.25,2021,2,1,5,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,2.0,0.0,4.0,3.0,0.0,0.0,3.5,2.1213203435596424,5.0,2.75,2.217355782608345,5.0,2.8,1.9235384061671346,5.0,2.8,1.9235384061671346,5.0,3.0,2.0
2021-02-08,6,67.16005952380952,3.7757726729601724,48.56,73.52,3095.8333333333335,1949.4132102433941,4.688750000000001,19.310000000000002,0.9327786044973545,0.6744444444444445,1,48,42,56,28,0.05622050813730427,24.959999999999994,0.005952380952380952,0.25,2021,2,1,6,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,5.0,2.0,0.0,4.0,0.0,0.0,5.5,0.7071067811865476,6.0,3.25,2.753785273643051,6.0,3.3333333333333335,2.160246899469287,6.0,3.3333333333333335,2.160246899469287,6.0,1.0,2.0
2021-02-15,3,60.637321428571425,9.455526247366057,29.55,70.58,3095.8333333333335,1949.4132102433941,7.145535714285715,34.45,0.8421850198412699,0.41041666666666665,25,48,42,56,28,0.15593575086433073,41.03,0.1488095238095238,0.25,2021,2,1,7,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,6.0,5.0,2.0,0.0,0.0,0.0,4.5,2.1213203435596424,6.0,4.0,1.8257418583505538,6.0,3.2857142857142856,1.9760470401187076,6.0,3.2857142857142856,1.9760470401187076,6.0,-3.0,3.0
2021-02-22,0,57.40160714285714,8.802722247038783,31.6,69.74,3095.8333333333335,1949.4132102433941,8.20267857142857,30.96,0.7972445436507937,0.4388888888888889,32,48,42,56,28,0.15335323669825443,38.13999999999999,0.19047619047619047,0.25,2021,2,1,8,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,3.0,6.0,5.0,2.0,0.0,0.0,1.5,2.1213203435596424,3.0,3.5,2.6457513110645907,6.0,2.875,2.1671244937540095,6.0,2.875,2.1671244937540095,6.0,-3.0,-2.0
2021-03-01,4,63.91761904761905,6.2193224343676725,30.91,73.36,3095.8333333333335,1949.4132102433941,4.505595238095238,35.09,0.887744708994709,0.42930555555555555,5,48,42,56,28,0.09730216060980364,42.45,0.02976190476190476,0.25,2021,3,1,9,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,0.0,3.0,6.0,5.0,3.0,0.0,2.0,2.8284271247461903,4.0,3.25,2.5,6.0,3.0,2.2038926600773587,6.0,3.0,2.0615528128088303,6.0,4.0,-1.0
2021-03-08,2,66.78291666666667,3.749067645239655,42.96,72.15,3095.8333333333335,1949.4132102433941,3.7630357142857145,14.939999999999998,0.9275405092592592,0.5966666666666667,1,48,42,56,28,0.056138123825174684,29.190000000000005,0.005952380952380952,0.25,2021,3,1,10,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,4.0,0.0,3.0,6.0,4.0,0.0,3.0,1.4142135623730951,4.0,2.25,1.7078251276599332,4.0,2.75,2.187627547301936,6.0,2.9,1.9692073983655907,6.0,-2.0,-4.0
